cluster,complaint_count,avg_latitude,avg_longitude,primary_borough,primary_complaint
2,967,40.84104459353957,-73.93728642679085,MANHATTAN,HEAT/HOT WATER
12,444,40.85403152512396,-73.90496261836356,BRONX,HEAT/HOT WATER
5,430,40.72627281942463,-73.98706628231015,MANHATTAN,Noise - Residential
6,270,40.65580744973959,-73.95421528321056,BROOKLYN,HEAT/HOT WATER
1,255,40.73516341212432,-74.00212345319257,MANHATTAN,Request Large Bulky Item Collection
13,241,40.833115590696956,-73.91608383300938,BRONX,HEAT/HOT WATER
15,233,40.79422669951409,-73.97052110931361,MANHATTAN,HEAT/HOT WATER
11,214,40.76382212464566,-73.98806692916096,MANHATTAN,HEAT/HOT WATER
16,185,40.7090447177181,-74.00857771653128,MANHATTAN,Panhandling
3,181,40.74255733137864,-73.98311163501468,MANHATTAN,Noise - Helicopter
31,123,40.86715517197319,-73.89328825025763,BRONX,HEAT/HOT WATER
0,112,40.643157505335914,-73.95859126437395,BROOKLYN,HEAT/HOT WATER
27,94,40.79891817007417,-73.93831914549736,MANHATTAN,HEAT/HOT WATER
10,93,40.70079617085286,-73.90807427477445,QUEENS,Noise - Residential
17,86,40.747513380494915,-73.87664637900899,QUEENS,HEAT/HOT WATER
28,82,40.83149288172847,-73.9017394812344,BRONX,Noise - Residential
23,80,40.851203859193404,-73.88804786374229,BRONX,HEAT/HOT WATER
33,77,40.80220449430086,-73.95365809486646,MANHATTAN,Noise - Residential
25,76,40.7789522631121,-73.95002027512963,MANHATTAN,Noise - Residential
14,65,40.686417138366096,-73.98271976188614,BROOKLYN,Illegal Parking
8,65,40.8525134343068,-73.86580755085023,BRONX,HEAT/HOT WATER
44,65,40.77760341338669,-73.97990702949527,MANHATTAN,Request Large Bulky Item Collection
37,57,40.68041351067759,-73.9510524219543,BROOKLYN,Request Large Bulky Item Collection
4,56,40.66700535292197,-73.93416395532822,BROOKLYN,Noise - Residential
24,56,40.635205397507285,-74.02841428383113,BROOKLYN,Illegal Parking
34,54,40.87187550139889,-73.90116708796243,BRONX,Illegal Parking
20,53,40.8328972701345,-73.9281852521431,BRONX,Noise - Residential
42,53,40.88719390771812,-73.86372603560302,BRONX,HEAT/HOT WATER
29,53,40.72205120776154,-73.8094161152717,QUEENS,Noise - Vehicle
39,53,40.87878466652599,-73.8733425326205,BRONX,Noise - Residential
53,51,40.671065226688654,-73.95580174303508,BROOKLYN,HEAT/HOT WATER
19,51,40.76796230925089,-73.91251593067008,QUEENS,Noise - Commercial
36,48,40.60446706120148,-73.99248096196018,BROOKLYN,HEAT/HOT WATER
38,46,40.71624746752823,-73.95764703002605,BROOKLYN,Noise - Commercial
18,46,40.82785088016357,-73.87995479570318,BRONX,HEAT/HOT WATER
40,45,40.83123996942974,-73.86669735539974,BRONX,Noise - Commercial
30,45,40.74657539132367,-73.89253789949592,QUEENS,HEAT/HOT WATER
7,43,40.616466502024394,-74.03734825355536,BROOKLYN,HEAT/HOT WATER
22,39,40.71406141152768,-73.99765681708864,MANHATTAN,HEAT/HOT WATER
43,39,40.83946184049228,-73.92431479454056,BRONX,HEAT/HOT WATER
46,38,40.731813162339435,-73.95601862963285,BROOKLYN,General Construction/Plumbing
48,37,40.70015017021635,-73.92175393960989,BROOKLYN,Blocked Driveway
50,37,40.68025639629936,-73.96275509781859,BROOKLYN,Illegal Parking
9,35,40.79003680631564,-73.94802831925945,MANHATTAN,Noise - Residential
35,35,40.84334441101082,-73.88765090619493,BRONX,HEAT/HOT WATER
52,34,40.8076357627773,-73.917926767095,BRONX,HEAT/HOT WATER
55,34,40.67363435485218,-73.96240073665307,BROOKLYN,HEAT/HOT WATER
47,33,40.749529977694046,-73.99529041680657,MANHATTAN,Noise - Residential
26,31,40.68998287634428,-73.99468848757661,BROOKLYN,Request Large Bulky Item Collection
45,31,40.69381382765621,-73.98047637285727,BROOKLYN,Noise - Residential
21,30,40.5992045028622,-74.00333945373207,BROOKLYN,HEAT/HOT WATER
41,30,40.87336933099308,-73.87867259412246,BRONX,HEAT/HOT WATER
32,30,40.76722851807934,-73.95909488027232,MANHATTAN,Illegal Parking
49,30,40.776012427050546,-73.95541537333209,MANHATTAN,HEAT/HOT WATER
51,30,40.65834941241469,-73.91852870638635,BROOKLYN,HEAT/HOT WATER
58,30,40.6645131954249,-73.94156052662339,BROOKLYN,HEAT/HOT WATER
57,30,40.601636316214126,-73.97472553558318,BROOKLYN,Illegal Parking
54,23,40.7533893707222,-73.99785212394261,MANHATTAN,Noise
56,17,40.845334634617345,-73.88265049133837,BRONX,HEAT/HOT WATER
